you are actresses .,vous etes des actrices .
you re stubborn .,tu es entetee .
you are a workaholic .,tu es un maniaque du travail .
he s wide awake .,il est tout a fait eveille .
he is familiar with computers .,il a l habitude des ordinateurs .
i am acquainted with the author .,je connais l auteur .
they re happy .,elles sont heureuses .
i m so confused .,je suis tellement confus !
i m a normal guy .,je suis un type normal .
i m satisfied with everything .,je suis satisfait de tout .
i m just another man .,je suis juste un autre homme .
you re very brave .,vous etes fort courageux .
i m not going to the movies tomorrow .,demain je ne vais pas au cinema .
i m glad you see it that way .,je me rejouis que tu le voies ainsi .
i m not hurt .,je ne suis pas blesse .
he is young .,il est jeune .
i m growing tired of all this arguing .,toutes ces disputes commencent a me fatiguer .
you re avoiding me .,vous m evitez .
he is in his library .,il est dans sa bibliotheque .
you re very wise .,vous etes fort avisee .
i am not certain about that .,je n en suis pas certain .
he s probably sleeping .,il dort probablement .
i m not going to sell it .,je ne le vendrai pas .
i m not dumb .,je ne suis pas abruti .
you re disgusting .,tu es degoutante .
she s too old for you .,elle est trop vieille pour toi .
we re not interested .,nous ne sommes pas interesses .
i m very happy now .,maintenant je suis tres heureuse .
i m in good health .,je suis en bonne sante .
i m very fat .,je suis tres gros .
we re still married .,nous sommes encore maries .
you re not allowed in here .,tu n es pas autorise a penetrer ici .
i m by your side .,je suis a vos cotes .
i am reading a magazine .,je lis un magazine .
we re careful .,nous sommes prudentes .
i m just a teacher .,je ne suis qu un enseignant .
i m confident .,j ai confiance .
you re very timid .,tu es tres peureux .
i m sure everything will be ok .,je suis sure que tout ira bien .
i m sure .,j en suis sur .
i m beginning to feel stupid .,je commence a me sentir bete .
she is quick at everything .,elle est rapide en tout .
you re the teacher .,c est vous l enseignante .
i am a muslim .,je suis musulman .
you are drunk !,tu es saoul !
i m the boss .,je suis le patron .
we are making progress .,nous faisons des progres .
he is no gentleman .,ce n est pas un gentleman .
i m going to be a lawyer .,je vais devenir avocat .
they are very interested in astronomy .,ils sont tres interesses par l astronomie .
you re fashionable .,vous etes branchee .
you are gorgeous .,tu es splendide .
we re quite alone .,nous sommes assez seuls .
i m a new student .,je suis un nouvel etudiant .
i am taking a holiday at the beach .,je prends des vacances a la plage .
he s an englishman .,il est anglais .
they re tired .,elles sont fatiguees .
he is independent of his parents .,il est independant de ses parents .
we are teachers .,nous sommes enseignants .
i m waiting for her to come here .,j attends qu elle vienne ici .
i m bringing home a pizza .,je ramene une pizza chez moi .
they re going to torture tom .,ils vont torturer tom .
i am loved by my mother .,ma mere m aime .
i m sure i can persuade tom .,je suis certain de pouvoir persuader tom .
i m surprised to see you .,je suis surprise de te voir .
you re very skeptical .,vous etes tres sceptique .
we are all looking forward to your coming .,nous nous rejouissons de votre venue .
you re too suspicious about everything .,vous etes trop suspicieuses de tout .
we re not alone .,nous ne sommes pas seuls .
we re married now .,nous sommes desormais maries .
i m not married anymore .,je ne suis plus marie .
you are lying .,vous mentez .
you re not helping me .,vous ne m aidez pas .
they re smiling at each other .,elles se sourient .
i m going out for a drink .,je sors prendre un verre .
i m not thinking clearly .,mes pensees ne sont pas claires .
i m not so sure .,je n en suis pas si sure !
i am rather happy .,je suis assez content .
he s my older brother .,c est mon frere aine .
you re very good .,tu es tres bon .
i m not miserable .,je ne suis pas malheureuse .
i m offended .,je suis offensee .
she s worried about your safety .,elle est inquiete pour votre securite .
i am ready to follow you .,je suis prete a vous suivre .
you re very tall .,vous etes tres grand .
he s afraid that he might be late .,il craint d etre en retard .
they re angry .,elles sont en colere .
i m aware of the facts .,je suis conscient des faits .
i am off today .,je suis en conge aujourd hui .
we re biased .,nous avons des prejuges .
you re winning .,vous l emportez .
i m lonely .,je me sens seul .
you re tough .,tu es dure .
he s my partner .,c est mon associe .
you re so talented .,tu as tellement de talent !
i m not afraid to be criticized .,je n ai pas peur d etre critique .
we re all together right now .,nous sommes tous ensemble a l instant .
they re students .,ce sont des etudiants .
you re very busy .,tu es fort occupee .
he s one of a kind .,il est unique en son genre .
you re probably thirsty .,vous avez probablement soif .
you re very stylish .,tu es fort elegant .
he is suffering from a cold .,il souffre d un rhume .
he is playing music .,il joue de la musique .
i am disgusted with him .,il me degoute .
he is tremendously handsome .,il est extremement beau .
i m here to help you .,je suis la pour vous aider .
we re trapped !,nous sommes piegees !
i m not going to the movies tomorrow .,je n irai pas au cinema demain .
i m sure i ve seen him before .,je suis sur de l avoir vu auparavant .
you aren t invited .,vous n etes pas invite .
they are the same age .,ils sont du meme age .
she is brushing her hair .,elle se brosse les cheveux .
i m too busy .,je suis trop occupee .
he s allergic to cats .,il a une allergie aux chats .
i m a bit of a reader myself .,je suis moi meme un peu lecteur .
i m not a professional .,je ne suis pas une professionnelle .
we re leaving now .,nous partons maintenant .
he s an interpreter in an international bank .,c est un interprete dans une banque internationale .
i m looking after myself .,je prends soin de moi .
you are not consistent .,tu n es pas coherent .
we re useless .,nous sommes inutiles .
i m happy the game is over .,je suis heureux que le jeu soit fini .
i m not what i used to be .,je ne suis plus ce que j etais .
we re gonna have a lot of fun .,on va bien rigoler .
you re productive .,vous etes productives .
you re not late .,tu n es pas en retard .
i m exercising .,je suis en train de m entrainer .
you re being malicious .,tu es medisant .
you re off the hook this time .,tu es tire d affaire cette fois .
i am sixteen years old .,j ai seize ans .
i am thinking about my children .,je pense a mes enfants .
we re saved .,nous sommes sauvees .
i m not free to go this afternoon .,je ne suis pas libre cette apres midi .
she is lucky .,elle est chancarde .
i m going on vacation next week .,je pars en vacances la semaine prochaine .
i m not finished with him .,je n en ai pas fini avec lui .
i m not feeling too well .,je ne me sens pas trop bien .
you are so childish sometimes .,vous etes parfois si puerils .
you re talkative .,vous etes bavarde .
i m broke and tired .,je suis sur la paille et fatigue .
i m letting you go .,je vous vire .
i m not a saint .,je ne suis pas un saint .
they re coming for me .,elles viennent pour moi .
she is always dressed in black .,elle est toujours vetue de noir .
i m ok .,ca va .
i m not mean .,je ne suis pas mechant .
we re all angry .,nous sommes toutes en colere .
i m introverted .,je suis introverti .
i m celebrating .,j arrose ca .
you re too slow .,vous etes trop lents .
you are very brave .,tu es tres brave .
i m busy too .,je suis egalement affaire .
we re too busy .,nous sommes trop occupees .
you re very stylish .,vous etes fort elegant .
she s just putting up a front .,elle fait juste semblant .
you re resourceful .,tu es pleine de ressources .
you re first .,tu passes en premier .
you are lying .,tu es en train de mentir .
you re a funny guy .,vous etes un drole de specimen .
you re very forward .,vous etes tres effronte .
we re really good .,nous sommes vraiment bonnes .
i m not talking to you .,je ne parle pas avec toi .
i m sorry to have bothered you .,je suis desolee de vous avoir derangees !
you re not my friend anymore .,vous n etes plus mon amie .
i m leaving it to you .,je te le laisse .
they are playing chess .,ils jouent aux echecs .
i m from kyoto .,je suis de kyoto .
i m sick of your complaints .,j en ai assez de tes recriminations .
they re all fake .,ils sont tous faux .
i m glad you liked it .,je suis heureux que vous l ayez apprecie .
you re not very funny .,tu n es pas tres amusant .
you re in luck .,vous etes veinarde .
we re the best .,nous sommes les meilleures .
i m in charge here .,ici c est moi le patron .
we re deluding ourselves .,nous nous leurrons .
we re glad you re here .,nous sommes contents que vous soyez la .
we re in trouble .,nous sommes dans le petrin .
i m afraid of the dark .,j ai peur du noir .
you re finished already .,tu en as deja fini .
you re the master .,c est vous le maitre .
you are probably wrong .,vous avez probablement tort .
you re very rude .,vous etes fort grossier .
they re all bad .,elles sont toutes mauvaises .
you are naughty .,vous etes vilain .
he is something of an artist .,c est un artiste en quelque sorte .
he s ahead in the race .,il est en tete de la course .
he s likely to be chosen .,il est probable qu il sera choisi .
i am drinking coffee .,je suis en train de boire du cafe .
i m glad you re coming .,je suis heureuse que vous veniez .
we re losing it .,nous sommes en train de perdre .
she is in a bad mood .,elle est de mauvaise humeur .
he s agreed to do the job .,il a accepte de faire le travail .
i m going to fight .,je vais me battre .
i m more than just a pretty face .,je suis davantage qu un joli visage .
i m no saint .,je ne suis pas une sainte .
they re in the science lab .,elles sont dans le laboratoire de sciences .
i m glad to see you .,je suis enchante de vous rencontrer .
i m not proud of it .,je n en suis pas fiere .
we re biased .,notre point de vue est biaise .
i m not alone .,je ne suis pas seule .
i m not really busy .,je ne suis pas vraiment occupee .
he s bound to notice your mistake .,il est force de remarquer votre erreur .
you re so wrong .,vous avez tellement tort .
i m not like you .,je ne suis pas comme toi .
i m not mad .,je ne suis pas fou .
they are the same age .,ils ont le meme age .
i am a student .,je suis etudiant .
he is well liked .,il est bien apprecie .
i m attentive .,je suis attentif .
you re poisoning me .,vous m empoisonnez .
i m going there now .,j y vais maintenant .
i m saving money for my old age .,j economise pour ma vieillesse .
you re all i ve got .,tu es tout ce que j ai .
you re tough .,vous etes durs .
i m delighted to be here .,je suis ravie d etre ici .
we re a bit late .,nous sommes un peu en retard .
he is close to sixty .,il a pres de soixante ans .
you are nothing but a student .,tu n es qu un etudiant .
i m exhausted .,je suis vannee .
she is beautiful like her mother .,elle est belle comme sa mere .
i m not carrying any identification .,je ne porte aucune piece d identite .
i m loyal .,je suis loyale .
she is guilty of fraud .,elle est coupable de fraude .
i m not at all hungry .,je n ai pas faim du tout .
she is a twin .,c est une jumelle .
you re going to have to call tom .,vous allez devoir appeler tom .
they re downstairs .,ils sont en dessous .
he is going to explain it to me .,il va me l expliquer .
i m behind him .,je suis derriere lui .
he s very experienced .,il a beaucoup d experience .
she s a very interesting person .,elle est une personne tres interessante .
we re separated .,nous sommes separes .
he is more lucky than clever .,il est plus chanceux qu intelligent .
you re very attractive .,vous etes tres attirants .
i am constantly forgetting people s names .,j oublie toujours les noms des gens .
i m unemployed .,je suis au chomage .
we re getting closer .,nous nous approchons .
you re a filthy liar !,vous etes un sale menteur !
he is a teacher of english .,il est prof d anglais .
she is hostile to me .,elle m est hostile .
you re preaching to the choir .,vous prechez des convaincues .
i m a big fan of golf .,j adore le golf .
i m innocent .,je suis ingenue .
you re too tense .,vous etes trop tendus .
i m not a beggar .,je ne suis pas un mendiant .
i m going to my grandmother s .,je vais chez ma grand mere .
you re very curious .,vous etes fort curieuse .
i am an office worker .,j ai un emploi de bureau .
i m really happy .,je suis vraiment content .
we are going to leave tomorrow .,nous allons partir demain .
i m ordering you to leave immediately .,je t ordonne de partir immediatement .
i am dying to see her again .,j ai tres envie de la revoir .
we re claustrophobic .,nous sommes claustrophobes .
i m sorry to bother you so often .,je suis desolee de te deranger si souvent .
you re forgiven .,vous etes pardonnes .
you re the only one for me now .,tu es le seul pour moi maintenant .
they are our guests .,elles sont nos invitees .
you re cantankerous .,vous etes acariatre .
i m about ready .,je suis presque pret .
he isn t actually the manager .,il n est pas vraiment le gerant .
he s a successful businessman .,c est un homme d affaire a succes .
you re powerful .,vous etes puissants .
you re not that smart .,tu n es pas si malin .
you re so paranoid .,vous etes tellement paranoiaque !
you re conceited .,vous etes suffisants .
i m just following orders .,je ne fais qu obeir aux ordres .
he s on his way .,il est en chemin .
i m the youngest in the family .,je suis le benjamin de la famille .
she s innocent .,elle est innocente .
they re going to have a look .,ils vont jeter un coup d il .
we re not friends anymore .,nous ne sommes plus amies .
i m here to help you .,je suis ici pour vous aider .
we re getting close .,nous nous en approchons .
she s very tall .,elle est tres grande .
she is devoted to her three children .,elle est entierement devouee a ses trois enfants .
i am in a spot .,je suis dans un endroit .
you re so wrong .,tu as tellement tort .
we re having company .,nous avons de la visite .
i m delighted to be here .,je suis ravi d etre ici .
you re very stylish .,vous etes tres elegantes .
i m dieting .,je suis au regime .
he s asleep .,il est endormi .
you are very insensitive .,vous etes tres indelicats .
i m very upset .,je suis fort contrariee .
you re enjoying yourself aren t you ?,vous vous amusez n est ce pas ?
he s offered to help .,il a offert son assistance .
i m getting married .,je vais me marier .
she is well liked by everyone .,elle est appreciee de tout le monde .
i m not done yet .,je n en ai pas encore fini .
i m glad that you understand .,je me rejouis que tu comprennes .
i m a citizen of the world .,je suis un citoyen du monde .
he s in the kitchen .,il est dans la cuisine .
i m not disagreeing .,je l accorde .
we re just students .,nous ne sommes que des etudiants .
i m a fast learner .,j apprends vite .
we re not all teachers .,nous ne sommes pas toutes enseignantes .
you re double parked .,tu es garee en double file .
i m talking .,je suis en train de discuter .
he is short but strong .,il est petit mais fort .
he s highly intelligent .,il est dote d une grande intelligence .
we re still not sure .,nous ne sommes toujours pas surs .
they re traitors .,ce sont des traitres .
we re all here .,nous sommes tous la .
you re arrogant .,vous etes arrogante .
we re all going home .,nous allons toutes chez nous .
i m not interested in politics .,je ne m interesse pas a la politique .
you are big .,vous etes grands .
he s been teaching for years .,cela fait vingt ans qu il enseigne .
you re lying !,tu mens !
i m not very athletic .,je ne suis pas tres athletique .
we re not staying .,nous ne restons pas .
i m going to hit the hay .,je vais me pieuter .
you re not wanted here .,on ne veut pas de vous ici .
he s in tokyo .,il est a tokyo .
i m not wealthy .,je ne suis pas riche .
he is mad about music .,c est un fondu de musique .
he is putting on weight .,il grossit .
she is sewing a dress .,elle coud une robe .
we re not from around here .,nous ne sommes pas du coin .
we re baffled .,nous sommes perplexes .
i m sure .,j en suis sure .
she is two years younger than me .,elle a deux ans de moins que moi .
he s a hopeless case .,il est sans espoir .
we re smarter than that .,nous sommes plus malins que ca .
we re getting warmer .,nous nous rechauffons .
i m no longer sleepy .,je n ai plus sommeil .
he is always full of ideas .,il est toujours plein d idees .
i m not going to sell it .,je ne la vendrai pas .
he is a diplomat at the american embassy .,il est diplomate a l ambassade americaine .
he is a man of vision .,il est un homme de vision .
i m not going to help you .,je ne vais pas vous aider .
you re wasting both of our time .,tu gaspilles notre temps a tous les deux .
they are both good .,ils sont bons tous les deux .
we re having a blast .,nous subissons un coup de tabac .
i m on holiday .,je suis en conges .
they re with me .,ils sont avec moi .
we are under his command .,nous sommes sous son commandement .
he s a famous popular singer in japan .,il est un celebre chanteur populaire au japon .
you re a wonderful guy .,tu es une personne merveilleuse .
i m sorry i yelled at you .,je suis desole de vous avoir hurle dessus .
i m going crazy .,je deviens fou .
he is well acquainted with french literature .,il est expert en litterature francaise .
i m very sad to hear that .,je suis tres triste d entendre ca .
i m pretty busy .,je suis plutot occupee .
you re fussy .,tu es difficile .
he is about to die .,il est a l article de la mort .
we are badly in want of water .,on a vraiment besoin d eau .
i m certainly not your friend .,je ne suis certainement pas votre amie .
he s waiting for the train to leave .,il attend que le train parte .
we are his children .,nous sommes ses enfants .
you re the master .,vous etes le maitre .
i am right .,j ai raison .
we re working on a limited budget .,nous travaillons dans un budget limite .
i m your boss .,je suis votre chef .
i m rather proud of it .,je suis plutot fier de ca .
we re out of ammo .,nous sommes a court de munitions .
you re forgiven .,tu es pardonne .
they are not tired .,elles ne sont pas fatiguees .
you re not that interesting .,vous n etes pas si interessants .
i m sorry if i scared you .,desole si je vous ai fait peur .
i m afraid that i might be late .,je crains d etre eventuellement en retard .
you aren t invited .,vous n etes pas invites .
we re not gonna make it .,ca va pas le faire .
i m not the boss .,je ne suis pas la patronne .
you aren t invited .,tu n es pas invite .
he s a cheat and a liar .,c est un tricheur et un menteur .
i m checking options .,je verifie les possibilites .
you re all cowards .,vous etes tous des laches .
he s our only suspect .,il est notre unique suspect .
he is a student .,c est un etudiant .
we re always careful .,nous sommes toujours prudents .
we re heading for disaster .,nous allons au devant d un desastre .
she s very afraid of dogs .,elle a une peur bleue des chiens .
he is unmarried .,il est celibataire .
i m unhappy .,je suis mecontente .
you are a good person .,vous etes un mec bien .
you re preaching to the choir .,tu preches un convaincu .
i m not alone .,je ne suis pas seul .
you re joking !,tu plaisantes !
i m very impressed .,je suis fort impressionne .
we re leaving here .,nous partons d ici .
i m not really busy .,je ne suis pas vraiment occupe .
i m smarter than you .,je suis plus degourdi que vous .
he is about to die .,il est sur le point de mourir .
i m working as fast as i can .,je travaille aussi vite que je peux .
we re out of bullets .,nous sommes a court de balles .
i m looking forward to hearing from you .,j espere avoir de tes nouvelles .
she is a good english speaker .,elle parle bien anglais .
i m at your mercy .,je suis a ta merci .
he is always looking for praise .,il cherche toujours les compliments .
i m shorter than him .,je suis plus petit que lui .
he s totally dependent on his parents .,il depend totalement de ses parents .
they re just for you .,elles sont juste pour vous .
i m not done with you .,je n en ai pas fini avec vous .
i m studying french .,j etudie le francais .
i m learning how to drive .,j apprends a conduire .
we re ready to go .,nous sommes prets a y aller .
he is more clever than me .,il est plus malin que moi .
they aren t alone .,elles ne sont pas seules .
i m not your teacher .,je ne suis pas ton professeur .
he is slowly recovering from his illness .,il recupere lentement de sa maladie .
she s a smart girl .,c est une fille intelligente .
you re the only one who understands me .,tu es la seule a me comprendre .
we re meant to be together .,nous sommes censes etre ensemble .
you aren t as short as i am .,tu n es pas aussi petit que moi .
they are typical young people .,c etaient des jeunes gens habituels .
he s greedy and lazy .,il est avide et paresseux .
we re all having lunch .,nous sommes tous en train de dejeuner .
you are a good person .,t es un chic type .
he s right behind you .,il se trouve juste derriere toi .
i m just making a suggestion .,je ne fais qu une suggestion .
he s a university student .,c est un etudiant de l universite .
i m not frightened of anything .,je n ai peur de rien .
they are my friends .,ce sont mes amies .
i m not inspired anymore .,je ne suis plus inspiree .
they re afraid of me .,elles ont peur de moi .
i m not allowed to help you .,je ne suis pas autorise a vous aider .
i m spontaneous .,je suis spontanee .
he is a fast speaker .,il parle vite .
they re stalling .,ils sont en train de temporiser .
he s so stupid .,il est tellement idiot !
you re fussy .,vous faites des manieres .
i m giving it back .,je la rends .
she is able to speak ten languages .,elle sait parler dix langues .
he s not a bad boy .,ce n est pas un mauvais garcon .
you re not that smart .,tu n es pas si maline .
you re still alive .,tu es toujours vivant .
you re extroverted .,vous etes extravertie .
you re very direct .,vous etes tres directe .
they re all against me .,elles sont toutes contre moi .
i m getting used to eating alone .,je m habitue a manger seul .
they are running in the park .,ils courent dans le parc .
they are five in all .,elles sont cinq en tout .
i am too tired to keep on walking .,je suis trop fatigue pour continuer de marcher .
he is playing golf .,il joue au golf .
he s doing his best .,il fait de son mieux .
we re not speaking .,nous ne sommes pas en train de parler .
he is a good speaker .,c est un bon orateur .
he s writing a long letter .,il ecrit une longue lettre .
she is drunk with happiness .,elle est ivre de bonheur .
he is giving me a hard time .,il me donne du mal .
i m an extremely humble person .,je suis une personne extremement humble .
you re too stupid to live .,vous etes trop stupide pour vivre .
i m just as confused as you are .,je suis aussi perplexe que vous l etes .
i m as curious as you are .,je suis aussi curieux que toi .
i m a normal girl .,je suis une fille normale .
i m not counting .,je ne suis pas en train de compter .
you re very late .,vous etes en retard .
you re lazy .,vous etes paresseuse .
you re all right .,vous allez bien .
i m just beginning .,je ne fais que commencer .
i m in way over my head .,j en crois pas mes yeux .
he s a liar .,c est un menteur .
i am very curious .,je suis tres curieux .
i m so embarrassed i want to die .,je suis tellement gene que je veux mourir .
he s obsessed with cleanliness .,il est obsede par la proprete .
you re not upset are you ?,vous n etes pas contraries si ?
we re not eating .,nous ne sommes pas en train de manger .
we re all cowards .,nous sommes tous des laches .
you re conscientious .,vous etes consciencieux .
he s very flexible .,il est tres flexible .
i m not particularly worried .,je ne suis pas particulierement soucieux .
we re out of milk .,nous sommes a court de lait .
you are no longer welcome here .,vous n etes plus les bienvenus ici .
we are supposed to know the rules .,nous sommes supposes connaitre les regles .
i m happy with that .,j en suis content .
i m the youngest child .,je suis le plus jeune enfant .
i m really disappointed in you tom .,tu me decois vraiment tom .
i m famous .,je suis connue .
she is a beauty .,c est une beaute .
i m a pretty good swimmer .,je suis assez bonne nageuse .
she s still young .,elle est encore jeune .
i m not coming back here .,je ne reviens pas ici .
you re thin .,vous etes minces .
you re not sleeping enough .,vous ne dormez pas suffisamment .
he is the head of the sales department .,il est le chef du departement de vente .
i m shocked .,je suis choque .
she s a looker .,c est un canon .
i m attaching three files .,je joins trois fichiers .
he is responsible for the accident .,il est responsable de l accident .
i m fasting .,je fais la diete .
i am exhausted .,je suis epuise .
you re lying aren t you ?,vous mentez n est ce pas ?
i m running out of ideas .,je suis a court d idees .
you re not as smart as me .,tu n es pas aussi malin que moi .
we re very excited .,nous sommes tres excitees .
they re doing it right .,ils le font correctement .
she s very beautiful .,elle est tres belle .
we re open tomorrow .,nous sommes ouverts demain .
you re assertive .,tu te fais comprendre .
you re turning thirty .,vous entrez dans la trentaine .
you re very stylish .,vous etes fort elegante .
you re the master .,tu es la maitresse .
you re temperamental .,vous etes fantasques .
you re invited .,vous etes invites .
i m not selling you my car .,je ne vous vends pas ma voiture .
you re the only one for me now .,tu es la seule pour moi desormais .
we re broke .,on est fauches .
we re still friends .,nous sommes toujours amis .
i m aware of my responsibilities .,je suis conscient de mes responsabilites .
i am reading a letter .,je suis en train de lire une lettre .
i m jittery .,j ai la frousse .
she s not here .,elle n est pas ici .
he is an angry drunk .,il a le vin mauvais .
i m at your disposal .,je suis a votre disposition .
you re right i think .,je pense que vous avez raison .
i m really angry .,j ai les glandes .
he s crazy about her .,il est fou d elle .
i m sorry i really am .,je suis desole vraiment .
i m all by myself .,je suis tout seul .
you re tough .,tu es dur .
i m lucky .,je suis chanceux .
you re a wonderful friend .,vous etes un merveilleux ami .
i m glad we did that .,je me rejouis que nous l ayons fait .
i m sorry i don t understand .,je suis desolee je ne comprends pas .
i m just a poor student .,je ne suis qu un pauvre etudiant .
i m kind of sick today .,je suis un peu malade aujourd hui .
we re both right .,nous avons tous deux raison .
you re grumpy .,tu es grognon .
i m just not very busy .,je ne suis simplement pas tres occupee .
i am afraid he will fail .,j ai peur qu il echoue .
i m kind of busy tonight .,je suis plutot occupe ce soir .
i am afraid of dying .,j ai peur de mourir .
you are twice as strong as i am .,tu es deux fois plus fort que moi .
we re inside .,nous sommes a l interieur .
i m afraid i ve offended you .,je crains de t avoir offensee .
i m glad you re here .,je suis content que vous soyez la .
you re the leader .,c est vous la chef .
i m asking what you think .,je demande ce que tu en penses .
we re tired .,nous sommes fatigues .
i m ready to start .,je suis pret a demarrer .
i m not married to tom anymore .,je ne suis plus mariee avec tom .
i m about the same age as you .,j ai environ le meme age que vous .
he is my brother .,c est mon frere .
you re totally ignorant .,vous etes completement ignorante .
you re forgetful .,tu es oublieux .
he is content with the simple life .,il est content de sa vie simple .
you are not kind .,vous n etes pas gentil .
you re the one that went crazy .,c est vous qui vous vous etes emballe .
you re getting closer .,vous vous approchez .
you re resilient .,tu es tenace .
he is a tennis player .,c est un joueur de tennis .
he s a grouch .,c est un rouspeteur .
we re counting on you to help .,nous comptons sur toi pour aider .
they re afraid of him .,ils ont peur de lui .
i m keeping my mouth shut .,je la ferme .
we re twins .,nous sommes jumelles .
i m almost sure of it .,j en suis presque sur .
they are about the same age .,elles sont a peu pres du meme age .
he s addicted .,il est accro .
we re not your parents .,nous ne sommes pas tes parents .
i m not your servant .,je ne suis pas ta servante .
i m the only one who survived .,je suis le seul a avoir survecu .
he s got lung cancer .,il a le cancer des poumons .
i m very interested in social studies .,les etudes sociales m interessent beaucoup .
i m still married .,je suis encore marie .
she is remarkably attractive .,elle est tres attirante .
i m convinced .,j en suis convaincu .
i am near the station .,je me trouve pres de la gare .
i m not unsympathetic .,je n y suis pas hostile .
you re a funny guy .,t es un drole de gars .
i am looking forward to seeing you again .,je me rejouis de te revoir .
you re disloyal .,vous etes deloyale .
you re very attractive .,tu es fort attirant .
you re always complaining about something .,tu rales toujours apres quelque chose .
i m not going to tell you again .,je ne vais pas vous le repeter .
he s mad at everyone .,il est en colere apres tout le monde .
you re considerate .,vous etes prevenant .
you re so predictable .,tu es tellement previsible !
i m no longer afraid of spiders .,je n ai plus peur des araignees .
he is still here .,il est encore ici .
he is reading a book .,il lit un livre .
we re not going to do it .,nous n allons pas vous repondre .
you re a grown woman now .,tu es une adulte maintenant .
they re both right .,ils ont tous les deux raison .
you re a weird kid .,vous etes un enfant bizarre .
i m majoring in sociology .,je me specialise en sociologie .
she is muttering to herself .,elle se parle a elle toute seule .
we re punctual .,nous sommes ponctuels .
we re not serious .,nous ne sommes pas serieuses .
they re all normal .,elles sont toutes normales .
she is a beginner .,elle est debutante .
you re careless .,tu es negligente .
he is eating .,il est en train de manger .
he is photogenic .,il est photogenique .
he s likely to be late .,il est probable qu il soit en retard .
you re sleepy .,tu es endormi .
she is wearing a blue dress .,elle porte une robe bleue .
i m moving .,je suis en train de demenager .
she is quite angry .,elle est assez fachee .
she s worried about your safety .,elle est inquiete pour ta securite .
i m tired of everything .,je suis fatiguee de tout .
i m very happy with my purchase .,je suis tres satisfait de mon achat .
i m always thirsty .,j ai toujours soif .
i am not your enemy .,je ne suis pas ton ennemie .
we re just about finished for the day .,nous avons presque fini pour aujourd hui .
you re sloshed .,t es bourre .
you re wasting time .,tu gaspilles du temps .
we re like brothers .,nous sommes comme des freres .
you re worse than tom .,vous etes pire que tom .
she is poor but she is happy .,elle est pauvre mais elle est heureuse .
you re the oldest .,c est vous le doyen .
she is a cheerful giver .,elle se rejouit de donner .
you re so impatient .,vous etes tellement impatiente .
you re crazy .,tu es fou .
he is precious to us .,il est precieux pour nous .
i m happy here .,je suis heureux ici .
you re all mad .,vous etes toutes folles .
you re the teacher .,c est vous l instituteur .
i m not a child .,je ne suis pas une enfant .
you re horrible .,vous etes hideux .
you re not safe here .,tu n es pas en securite ici .
we re resigning .,nous demissionnons .
he s as blind as a bat .,il est myope comme une taupe .
we re still getting to know each other .,on apprend encore a se connaitre .
we re still vulnerable .,nous sommes encore vulnerables .
we re close friends .,nous sommes des amis proches .
you are wrong .,vous avez tort .
i am accustomed to working hard .,je suis habitue a travailler dur .
i am not like you .,je ne suis pas comme toi .
i m proud of you all .,je suis fier de vous tous .
we re your last hope .,nous sommes votre dernier espoir .
i m going to study french next year .,je vais etudier le francais l annee prochaine .
you re resilient .,vous etes endurant .
you are big .,vous etes grande .
i am here on business .,je suis ici pour affaires .
i m pleased with my new bathing suit .,je suis content de ma nouvelle veste .
i m all set .,je suis tout a fait pret .
i m a patient .,je suis un patient .
you re very rude .,vous etes tres grossier .
i m glad i invited you .,je suis heureuse de t avoir invite .
i m tired of waiting in line .,je suis fatiguee de faire la queue .
she is out of danger .,elle est hors de danger .
i m glad to be here .,je suis content d etre ici .
i am familiar with your name .,ton nom m est familier .
he is known as a great painter .,il est connu comme un grand peintre .
he is a tough cookie .,c est un emmerdeur .
i m not selling you my car .,je refuse de te vendre ma voiture .
you re not satisfied are you ?,vous n etes pas satisfait si ?
we re not yet there .,nous n y sommes pas encore .
you re ambitious .,tu es ambitieux .
we re still not sure .,nous ne sommes pas encore sures .
i m a high school student .,je suis un lyceen .
we re all students .,nous sommes toutes etudiantes .
you re no friend of mine .,vous n etes pas de mes amis .
you re such a flirt .,vous etes une de ces dragueuses !
i m certain of that .,j en suis certain .
i m not entirely sure .,je n en suis pas entierement sure .
you are busy now aren t you ?,tu es occupe en ce moment ?
we re dealing with it .,nous nous en occupons .
i m doing my homework .,je suis en train de faire mes devoirs .
we re not prisoners .,nous ne sommes pas prisonnieres .
you re not bleeding .,tu ne saignes pas .
you aren t as short as i am .,vous n etes pas aussi petites que moi .
you re too skinny .,vous etes trop maigres .
i m right behind you .,je suis juste derriere toi .
i m glad .,je suis content .
i m afraid of spiders .,j ai peur des araignees .
you re overworked .,tu es surmene .
she s a true artist .,c est une veritable artiste .
you re always nagging me .,tu es toujours en train de me tarabuster .
i m not an only child .,je ne suis pas une enfant unique .
they re very busy .,elles sont tres occupees .
you re stupid to trust him .,tu es stupide de lui faire confiance .
we re not buying .,nous ne sommes pas en train d acheter .
they re armed .,ils sont armes .
i am taking a couple of days off .,je prends quelques jours de conge .
i am sure .,je suis sur .
we re doing great .,nous nous en sortons tres bien .
i m just not very hungry .,je n ai simplement pas tres faim .
he is a brave man .,c est un brave homme .
i m excited .,je suis excite .
we re being blackmailed .,on nous fait chanter .
i am interested in swimming .,je m interesse a la natation .
he is studying history at the university .,il etudie l histoire a l universite .
